				Alberta	Alberta	Atlantic Canada	Atlantic Canada	British Columbia	British Columbia	North	North	Ontario	Ontario	Prairies	Prairies	Quebec	Quebec
Multiple of your children (birth, adopted, step or foster)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	23	3	3	3	18	2	0	0	61	7	10	3	47	0
Your grandchild(ren)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	1	2	2	1	4	0	0	0	3	3	1	0	5	0
Your sibling(s)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	4	0	0	0	10	0	0	0	26	4	1	0	5	0
Other relative(s)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	1	0	0	0	6	0	0	0	11	4	2	1	3	0
Other non-relative(s)	Household Composition	Modular / Prefab	Low Perceived Neighbors' Support	11	0	3	0	16	0	1	1	29	1	2	0	13	0
Information about benefits to your community associated with the innovation	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	79	14	33	19	95	9	4	3	274	34	47	11	170	2
Information about the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	51	8	21	14	77	7	0	2	217	32	30	7	143	1
Sources of funding for the project	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	44	15	24	13	57	4	1	0	210	29	27	8	145	1
Contact details of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	33	5	10	10	30	5	1	1	137	17	14	3	84	1
Reviews of the organisation providing the innovation	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	62	13	19	10	58	3	1	0	177	24	25	2	93	0
Images or physical demos of the housing itself	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	89	15	18	9	91	6	2	1	263	23	31	4	158	0
Building specifications (e.g. the number of new units to be constructed, the height of the building)	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	103	14	28	18	106	8	3	1	282	30	38	6	158	2
Building management plan	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	46	6	13	13	59	6	3	1	124	12	18	4	97	1
Detailed information about the process and timelines	Key Pieces of Information	Modular / Prefab	Low Perceived Neighbors' Support	52	9	14	11	54	4	3	0	151	12	20	5	76	1
Man	Gender	Supportive Housing	High Personal Support	44	9	16	16	51	5	1	2	165	16	25	5	92	1
Woman	Gender	Supportive Housing	High Personal Support	39	9	13	14	52	4	2	1	150	30	20	8	103	3
Non-binary	Gender	Supportive Housing	High Personal Support	0	0	1	0	0	0	0	0	2	0	1	0	0	0
Prefer not to answer	Gender	Supportive Housing	High Personal Support	0	0	0	1	0	0	0	0	1	0	2	0	1	0
25 to 34 years	Age Group 	Supportive Housing	High Personal Support	20	2	5	2	21	0	0	1	57	2	5	5	36	0
35 to 44 years	Age Group 	Supportive Housing	High Personal Support	16	4	4	4	16	3	1	0	53	6	9	5	42	0
45 to 54 years	Age Group 	Supportive Housing	High Personal Support	16	2	5	7	16	1	1	0	76	9	8	0	33	2
55 to 64 years	Age Group 	Supportive Housing	High Personal Support	18	1	9	10	11	4	0	2	54	12	11	1	40	0
65 to 74 years	Age Group 	Supportive Housing	High Personal Support	7	4	4	5	24	0	1	0	50	10	7	1	27	1
75 to 84 years	Age Group 	Supportive Housing	High Personal Support	5	2	2	3	11	0	0	0	23	4	7	1	13	0
85 years and over	Age Group 	Supportive Housing	High Personal Support	1	3	1	0	4	1	0	0	5	3	1	0	5	1
$100,001 - $130,000	Household Income	Supportive Housing	High Personal Support	12	2	1	1	15	0	1	2	40	10	4	1	26	0
$40,000 - $70,000	Household Income	Supportive Housing	High Personal Support	14	3	8	9	21	4	0	1	65	12	12	4	45	2
$70,001 - $100,000	Household Income	Supportive Housing	High Personal Support	14	2	7	5	17	0	0	0	58	8	6	4	29	0
Less than $40,000	Household Income	Supportive Housing	High Personal Support	25	7	9	10	28	3	0	0	99	12	17	1	11	0
More than $130,000	Household Income	Supportive Housing	High Personal Support	11	3	1	5	20	2	2	0	40	3	8	1	5	1
Prefer not to answer	Household Income	Supportive Housing	High Personal Support	7	1	4	1	2	0	0	0	16	1	1	2	8	1
Owners	Type of Housing 	Supportive Housing	High Personal Support	0	13	12	26	49	8	2	2	173	36	31	11	81	4
Non-Owners	Type of Housing 	Supportive Housing	High Personal Support	37	5	18	5	54	1	1	1	145	10	17	2	115	0
I live alone	Household Composition	Supportive Housing	High Personal Support	20	6	5	3	25	2	0	1	79	6	12	3	74	0
Your spouse or common-law partner	Household Composition	Supportive Housing	High Personal Support	50	9	20	24	56	6	1	2	185	32	30	8	96	4
Your parent(s) (including in-laws)	Household Composition	Supportive Housing	High Personal Support	2	2	1	1	5	0	1	0	27	6	2	1	8	0
Your grandparent(s) (including in-laws)	Household Composition	Supportive Housing	High Personal Support	0	0	0	0	1	0	0	0	2	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Supportive Housing	High Personal Support	19	2	7	8	21	0	0	0	84	14	10	2	26	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Supportive Housing	High Personal Support	7	3	3	2	6	2	1	0	27	1	7	4	23	1
Your grandchild(ren)	Household Composition	Supportive Housing	High Personal Support	0	1	0	1	3	0	0	0	2	3	1	0	2	0
Your sibling(s)	Household Composition	Supportive Housing	High Personal Support	2	0	0	0	2	0	0	0	12	3	0	0	2	0
Other relative(s)	Household Composition	Supportive Housing	High Personal Support	2	0	0	0	2	0	0	0	4	5	1	1	3	0
Other non-relative(s)	Household Composition	Supportive Housing	High Personal Support	7	0	2	1	16	0	0	0	16	1	1	0	6	0
Information about the organisation managing the development (e.g., mission, structure, funding)	Key Pieces of Information	Supportive Housing	High Personal Support	31	4	12	9	33	3	0	1	80	17	14	5	64	0
Information about the social benefits of the development	Key Pieces of Information	Supportive Housing	High Personal Support	16	4	7	4	26	0	1	0	79	9	11	3	46	1
Information about the type of support that residents of the development will receive	Key Pieces of Information	Supportive Housing	High Personal Support	35	8	14	17	48	5	0	2	122	15	24	5	90	1
Detailed information about the process and timelines of the development	Key Pieces of Information	Supportive Housing	High Personal Support	10	2	2	2	8	2	1	0	52	7	3	3	16	1
Information about the specific needs/challenges of the intended residents (e.g. homelessness, mental health needs, transition out of incarceration)	Key Pieces of Information	Supportive Housing	High Personal Support	36	9	17	16	60	5	1	2	148	22	25	7	99	3
Contact details of the organisation managing the development	Key Pieces of Information	Supportive Housing	High Personal Support	12	4	3	1	7	0	1	0	33	2	6	0	26	0
Information about any security measures the providing organisation will take	Key Pieces of Information	Supportive Housing	High Personal Support	33	5	10	14	51	4	1	0	118	13	14	4	105	0
Examples of similar supportive housing developments that the organisation has been involved with	Key Pieces of Information	Supportive Housing	High Personal Support	22	6	7	8	19	3	1	2	74	11	15	4	48	2
Reviews of the organisation managing the development	Key Pieces of Information	Supportive Housing	High Personal Support	11	2	3	5	14	0	2	1	61	10	9	1	23	0
Sources of funding for the project	Key Pieces of Information	Supportive Housing	High Personal Support	16	3	8	6	13	2	0	1	58	11	9	3	19	1
Development specifications (e.g., the number of new units to be constructed, the height of the building)	Key Pieces of Information	Supportive Housing	High Personal Support	16	3	5	7	19	2	0	0	81	15	9	2	36	3
Images or physical demos of the housing itself	Key Pieces of Information	Supportive Housing	High Personal Support	9	3	1	4	11	1	1	0	42	5	5	2	16	0
Man	Gender	Supportive Housing	Low Personal Support	73	16	28	9	85	14	2	1	253	34	32	12	201	1
Woman	Gender	Supportive Housing	Low Personal Support	82	13	38	29	109	14	5	1	257	51	41	17	174	2
Non-binary	Gender	Supportive Housing	Low Personal Support	2	0	0	0	0	0	0	0	2	0	0	0	3	0
Prefer not to answer	Gender	Supportive Housing	Low Personal Support	0	0	1	0	3	0	0	0	1	0	1	0	4	0
25 to 34 years	Age Group 	Supportive Housing	Low Personal Support	20	4	6	3	29	1	0	0	83	6	12	2	50	1
35 to 44 years	Age Group 	Supportive Housing	Low Personal Support	35	7	8	9	29	2	3	0	104	15	17	4	48	0
45 to 54 years	Age Group 	Supportive Housing	Low Personal Support	35	7	13	6	38	7	1	0	110	16	10	3	74	1
55 to 64 years	Age Group 	Supportive Housing	Low Personal Support	31	4	14	9	52	5	0	0	105	20	18	11	92	0
65 to 74 years	Age Group 	Supportive Housing	Low Personal Support	24	3	17	10	23	7	1	2	54	18	8	7	70	0
75 to 84 years	Age Group 	Supportive Housing	Low Personal Support	10	3	6	1	15	6	2	0	33	8	7	2	31	1
85 years and over	Age Group 	Supportive Housing	Low Personal Support	2	1	3	0	11	0	0	0	24	2	2	0	17	0
$100,001 - $130,000	Household Income	Supportive Housing	Low Personal Support	23	4	14	3	27	2	3	0	70	9	17	4	60	0
$40,000 - $70,000	Household Income	Supportive Housing	Low Personal Support	33	4	12	9	34	4	1	1	100	17	20	6	82	0
$70,001 - $100,000	Household Income	Supportive Housing	Low Personal Support	35	4	11	10	33	6	0	0	86	15	8	8	67	0
Less than $40,000	Household Income	Supportive Housing	Low Personal Support	19	5	13	6	32	6	0	0	79	22	14	4	11	1
More than $130,000	Household Income	Supportive Housing	Low Personal Support	27	8	8	5	45	7	3	1	116	16	10	5	8	2
Prefer not to answer	Household Income	Supportive Housing	Low Personal Support	20	4	9	5	26	3	0	0	62	6	5	2	49	0
Owners	Type of Housing 	Supportive Housing	Low Personal Support	131	24	52	31	127	24	6	2	346	73	47	27	257	3
Non-Owners	Type of Housing 	Supportive Housing	Low Personal Support	26	5	15	7	70	4	1	0	167	12	27	2	125	0
I live alone	Household Composition	Supportive Housing	Low Personal Support	34	8	17	9	53	6	1	0	113	16	19	4	103	0
Your spouse or common-law partner	Household Composition	Supportive Housing	Low Personal Support	95	19	43	26	112	21	6	2	318	62	49	21	229	2
Your parent(s) (including in-laws)	Household Composition	Supportive Housing	Low Personal Support	8	3	3	2	18	1	0	0	35	3	2	1	8	0
Your grandparent(s) (including in-laws)	Household Composition	Supportive Housing	Low Personal Support	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Supportive Housing	Low Personal Support	36	7	18	5	50	1	1	1	134	20	17	7	49	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Supportive Housing	Low Personal Support	21	3	1	5	16	3	0	0	48	13	7	4	54	0
Your grandchild(ren)	Household Composition	Supportive Housing	Low Personal Support	1	1	2	0	3	0	0	0	3	1	0	1	5	0
Your sibling(s)	Household Composition	Supportive Housing	Low Personal Support	4	0	1	1	11	0	0	0	20	1	1	0	4	0
Other relative(s)	Household Composition	Supportive Housing	Low Personal Support	0	1	0	0	5	0	0	0	10	0	1	0	2	0
Other non-relative(s)	Household Composition	Supportive Housing	Low Personal Support	9	0	2	0	5	0	1	1	23	2	2	0	12	0
Information about the organisation managing the development (e.g., mission, structure, funding)	Key Pieces of Information	Supportive Housing	Low Personal Support	26	6	20	9	53	11	2	1	123	23	18	6	113	1
Information about the social benefits of the development	Key Pieces of Information	Supportive Housing	Low Personal Support	21	4	14	4	25	3	0	0	94	10	11	3	37	0
Information about the type of support that residents of the development will receive	Key Pieces of Information	Supportive Housing	Low Personal Support	39	13	29	16	87	8	4	0	167	28	30	17	147	2
Detailed information about the process and timelines of the development	Key Pieces of Information	Supportive Housing	Low Personal Support	15	0	7	5	18	1	1	1	58	7	6	1	43	0
Information about the specific needs/challenges of the intended residents (e.g. homelessness, mental health needs, transition out of incarceration)	Key Pieces of Information	Supportive Housing	Low Personal Support	96	17	36	24	111	14	5	1	265	48	46	22	155	2
Contact details of the organisation managing the development	Key Pieces of Information	Supportive Housing	Low Personal Support	15	6	8	4	21	5	0	1	76	9	15	2	52	0
Information about any security measures the providing organisation will take	Key Pieces of Information	Supportive Housing	Low Personal Support	104	19	26	21	124	16	4	1	296	48	43	18	248	1
Examples of similar supportive housing developments that the organisation has been involved with	Key Pieces of Information	Supportive Housing	Low Personal Support	31	7	16	6	40	3	2	0	88	16	15	5	72	0
Reviews of the organisation managing the development	Key Pieces of Information	Supportive Housing	Low Personal Support	24	3	11	7	29	7	1	0	90	10	11	3	72	1
Sources of funding for the project	Key Pieces of Information	Supportive Housing	Low Personal Support	17	3	6	6	18	2	0	0	75	19	9	4	55	0
Development specifications (e.g., the number of new units to be constructed, the height of the building)	Key Pieces of Information	Supportive Housing	Low Personal Support	50	5	14	8	31	7	2	1	128	24	12	4	90	2
Images or physical demos of the housing itself	Key Pieces of Information	Supportive Housing	Low Personal Support	23	3	11	3	23	3	0	0	56	8	3	2	47	0
Man	Gender	Supportive Housing	High Perceived Neighbors' Support	14	5	9	7	26	3	1	1	65	5	12	2	46	1
Woman	Gender	Supportive Housing	High Perceived Neighbors' Support	11	5	6	4	13	1	1	1	49	8	6	6	30	2
Non-binary	Gender	Supportive Housing	High Perceived Neighbors' Support	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Prefer not to answer	Gender	Supportive Housing	High Perceived Neighbors' Support	0	0	0	0	0	0	0	0	1	0	1	0	0	0
25 to 34 years	Age Group 	Supportive Housing	High Perceived Neighbors' Support	10	1	5	0	9	0	0	0	28	1	2	4	12	0
35 to 44 years	Age Group 	Supportive Housing	High Perceived Neighbors' Support	6	4	2	2	9	1	1	0	26	1	7	3	15	0
45 to 54 years	Age Group 	Supportive Housing	High Perceived Neighbors' Support	4	0	3	2	7	1	0	0	27	5	4	0	15	2
55 to 64 years	Age Group 	Supportive Housing	High Perceived Neighbors' Support	2	1	2	6	2	2	0	2	19	3	3	0	13	0
65 to 74 years	Age Group 	Supportive Housing	High Perceived Neighbors' Support	1	1	2	0	9	0	1	0	9	2	4	0	16	0
75 to 84 years	Age Group 	Supportive Housing	High Perceived Neighbors' Support	2	2	1	1	3	0	0	0	5	1	0	1	5	0
85 years and over	Age Group 	Supportive Housing	High Perceived Neighbors' Support	0	1	0	0	0	0	0	0	1	0	0	0	0	1
$100,001 - $130,000	Household Income	Supportive Housing	High Perceived Neighbors' Support	3	2	1	0	7	0	0	1	15	3	3	1	6	0
$40,000 - $70,000	Household Income	Supportive Housing	High Perceived Neighbors' Support	5	1	2	2	7	2	0	1	27	4	4	4	18	2
$70,001 - $100,000	Household Income	Supportive Housing	High Perceived Neighbors' Support	3	0	3	0	7	0	0	0	23	0	1	1	13	0
Less than $40,000	Household Income	Supportive Housing	High Perceived Neighbors' Support	10	5	6	5	11	0	0	0	31	6	8	1	6	0
More than $130,000	Household Income	Supportive Housing	High Perceived Neighbors' Support	3	2	1	3	7	2	2	0	14	0	4	0	0	1
Prefer not to answer	Household Income	Supportive Housing	High Perceived Neighbors' Support	1	0	2	1	0	0	0	0	5	0	0	1	3	0
Owners	Type of Housing 	Supportive Housing	High Perceived Neighbors' Support	12	7	6	8	18	4	1	1	64	9	12	6	26	3
Non-Owners	Type of Housing 	Supportive Housing	High Perceived Neighbors' Support	13	3	9	3	21	0	1	1	51	4	8	2	50	0
I live alone	Household Composition	Supportive Housing	High Perceived Neighbors' Support	7	3	2	1	10	1	0	0	21	2	7	1	32	0
Your spouse or common-law partner	Household Composition	Supportive Housing	High Perceived Neighbors' Support	15	6	13	8	22	3	1	2	74	8	10	5	33	3
Your parent(s) (including in-laws)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	1	1	0	1	2	0	1	0	12	2	1	1	1	0
Your grandparent(s) (including in-laws)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	4	2	5	2	10	0	0	0	35	2	5	1	10	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	2	2	1	1	3	0	0	0	12	2	3	3	7	1
Your grandchild(ren)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	0	0	0	0	1	0	0	0	2	0	1	0	0	0
Your sibling(s)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	0	0	0	0	2	0	0	0	5	0	0	0	1	0
Other relative(s)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	0	0	0	0	1	0	0	0	3	0	1	1	2	0
Other non-relative(s)	Household Composition	Supportive Housing	High Perceived Neighbors' Support	1	0	0	1	4	0	0	0	6	0	0	0	2	0
Information about the organisation managing the development (e.g., mission, structure, funding)	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	8	0	8	4	14	0	0	1	24	2	4	3	20	0
Information about the social benefits of the development	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	3	3	4	3	11	0	1	0	36	2	4	2	18	1
Information about the type of support that residents of the development will receive	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	11	6	9	4	13	2	0	1	38	5	11	4	30	1
Detailed information about the process and timelines of the development	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	7	1	1	0	6	2	1	0	25	3	0	3	8	1
Information about the specific needs/challenges of the intended residents (e.g. homelessness, mental health needs, transition out of incarceration)	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	8	5	10	6	15	3	0	1	42	5	12	4	35	2
Contact details of the organisation managing the development	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	2	2	1	0	5	0	1	0	13	1	2	0	14	0
Information about any security measures the providing organisation will take	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	9	1	4	2	17	1	0	0	37	3	7	2	35	0
Examples of similar supportive housing developments that the organisation has been involved with	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	9	4	4	3	9	2	1	1	25	1	6	3	21	1
Reviews of the organisation managing the development	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	2	1	2	2	7	0	1	1	20	5	3	0	12	0
Sources of funding for the project	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	4	3	0	3	6	0	0	1	25	2	6	1	13	1
Development specifications (e.g., the number of new units to be constructed, the height of the building)	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	8	2	2	3	7	1	0	0	41	7	2	1	13	2
Images or physical demos of the housing itself	Key Pieces of Information	Supportive Housing	High Perceived Neighbors' Support	4	1	0	3	7	1	1	0	16	3	3	1	9	0
Man	Gender	Supportive Housing	Low Perceived Neighbors' Support	103	20	35	18	110	16	2	2	353	45	45	15	247	1
Woman	Gender	Supportive Housing	Low Perceived Neighbors' Support	110	17	45	39	148	17	6	1	358	73	55	19	247	3
Non-binary	Gender	Supportive Housing	Low Perceived Neighbors' Support	2	0	1	0	0	0	0	0	4	0	0	0	3	0
Prefer not to answer	Gender	Supportive Housing	Low Perceived Neighbors' Support	0	0	1	1	3	0	0	0	1	0	2	0	5	0
25 to 34 years	Age Group 	Supportive Housing	Low Perceived Neighbors' Support	30	5	6	5	41	1	0	1	112	7	15	3	74	1
35 to 44 years	Age Group 	Supportive Housing	Low Perceived Neighbors' Support	45	7	10	11	36	4	3	0	131	20	19	6	75	0
45 to 54 years	Age Group 	Supportive Housing	Low Perceived Neighbors' Support	47	9	15	11	47	7	2	0	159	20	14	3	92	1
55 to 64 years	Age Group 	Supportive Housing	Low Perceived Neighbors' Support	47	4	21	13	61	7	0	0	140	29	26	12	119	0
65 to 74 years	Age Group 	Supportive Housing	Low Perceived Neighbors' Support	30	6	19	15	38	7	1	2	95	26	11	8	81	1
75 to 84 years	Age Group 	Supportive Housing	Low Perceived Neighbors' Support	13	3	7	3	23	6	2	0	51	11	14	2	39	1
85 years and over	Age Group 	Supportive Housing	Low Perceived Neighbors' Support	3	3	4	0	15	1	0	0	28	5	3	0	22	0
$100,001 - $130,000	Household Income	Supportive Housing	Low Perceived Neighbors' Support	32	4	14	4	35	2	4	1	95	16	18	4	80	0
$40,000 - $70,000	Household Income	Supportive Housing	Low Perceived Neighbors' Support	42	6	18	16	48	6	1	1	138	25	28	6	109	0
$70,001 - $100,000	Household Income	Supportive Housing	Low Perceived Neighbors' Support	46	6	15	15	43	6	0	0	121	23	13	11	83	0
Less than $40,000	Household Income	Supportive Housing	Low Perceived Neighbors' Support	34	7	16	11	49	9	0	0	147	28	23	4	16	1
More than $130,000	Household Income	Supportive Housing	Low Perceived Neighbors' Support	35	9	8	7	58	7	3	1	142	19	14	6	13	2
Prefer not to answer	Household Income	Supportive Housing	Low Perceived Neighbors' Support	26	5	11	5	28	3	0	0	73	7	6	3	54	1
Owners	Type of Housing 	Supportive Housing	Low Perceived Neighbors' Support	165	30	58	49	158	28	7	3	455	100	66	32	312	4
Non-Owners	Type of Housing 	Supportive Housing	Low Perceived Neighbors' Support	50	7	24	9	103	5	1	0	261	18	36	2	190	0
I live alone	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	47	11	20	11	68	7	1	1	171	20	24	6	145	0
Your spouse or common-law partner	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	130	22	50	42	146	24	6	2	429	86	69	24	292	3
Your parent(s) (including in-laws)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	9	4	4	2	21	1	0	0	50	7	3	1	15	0
Your grandparent(s) (including in-laws)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	0	0	0	0	1	0	0	0	3	0	0	0	0	0
Your child (birth, adopted, step or foster)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	51	7	20	11	61	1	1	1	183	32	22	8	65	1
Multiple of your children (birth, adopted, step or foster)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	26	4	3	6	19	5	1	0	63	12	11	5	70	0
Your grandchild(ren)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	1	2	2	1	5	0	0	0	3	4	0	1	7	0
Your sibling(s)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	6	0	1	1	11	0	0	0	27	4	1	0	5	0
Other relative(s)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	2	1	0	0	6	0	0	0	11	5	1	0	3	0
Other non-relative(s)	Household Composition	Supportive Housing	Low Perceived Neighbors' Support	15	0	4	0	17	0	1	1	33	3	3	0	16	0
Information about the organisation managing the development (e.g., mission, structure, funding)	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	49	10	24	14	72	14	2	1	179	38	28	8	157	1
Information about the social benefits of the development	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	34	5	17	5	40	3	0	0	137	17	18	4	65	0
Information about the type of support that residents of the development will receive	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	63	15	34	29	122	11	4	1	251	38	43	18	207	2
Detailed information about the process and timelines of the development	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	18	1	8	7	20	1	1	1	85	11	9	1	51	0
Information about the specific needs/challenges of the intended residents (e.g. homelessness, mental health needs, transition out of incarceration)	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	124	21	43	34	156	16	6	2	371	65	59	25	219	3
Contact details of the organisation managing the development	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	25	8	10	5	23	5	0	1	96	10	19	2	64	0
Information about any security measures the providing organisation will take	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	128	23	32	33	158	19	5	1	377	58	50	20	318	1
Examples of similar supportive housing developments that the organisation has been involved with	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	44	9	19	11	50	4	2	1	137	26	24	6	99	1
Reviews of the organisation managing the development	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	33	4	12	10	36	7	2	0	131	15	17	4	83	1
Sources of funding for the project	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	29	3	14	9	25	4	0	0	108	28	12	6	61	0
Development specifications (e.g., the number of new units to be constructed, the height of the building)	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	58	6	17	12	43	8	2	1	168	32	19	5	113	3
Images or physical demos of the housing itself	Key Pieces of Information	Supportive Housing	Low Perceived Neighbors' Support	28	5	12	4	27	3	0	0	82	10	5	3	54	0
None of the above	Barriers	ADU	High Personal Support	27	12	23	28	57	10	6	1	126	35	20	11	118	2
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ADU	High Personal Support	32	5	8	13	40	2	0	0	100	15	12	6	52	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	ADU	High Personal Support	10	1	5	3	8	0	0	0	38	2	6	1	26	0
It could affect traffic and parking in my neighbourhood.	Barriers	ADU	High Personal Support	63	6	18	5	107	2	1	2	149	19	23	4	77	1
It could increase the density of my neighbourhood.	Barriers	ADU	High Personal Support	32	1	10	0	46	3	0	2	92	6	12	1	65	1
I believe they are unsuitable to live in and would oppose them in my neighbourhood to protect potential tenants.	Barriers	ADU	High Personal Support	4	2	1	1	7	1	0	0	16	0	2	0	15	0
It would reduce my privacy.	Barriers	ADU	High Personal Support	18	2	11	5	13	2	0	1	55	13	11	4	21	0
It could lower my quality of life with noise or other disruptions.	Barriers	ADU	High Personal Support	22	3	9	9	32	3	1	0	72	18	9	2	59	0
There is not enough space in my neighbourhood or in dwellings within my neighbourhood.	Barriers	ADU	High Personal Support	26	3	11	4	26	0	1	0	94	12	15	4	96	0
It may block my view.	Barriers	ADU	High Personal Support	7	4	2	0	8	0	0	1	26	4	1	0	14	0
None of the above	Barriers	ADU	Low Personal Support	7	4	10	3	16	3	1	0	73	15	9	4	47	1
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ADU	Low Personal Support	37	6	11	13	32	7	0	1	108	11	20	5	80	2
It could disrupt the aesthetics of my neighbourhood.	Barriers	ADU	Low Personal Support	9	3	5	3	11	3	0	1	44	6	8	2	34	0
It could affect traffic and parking in my neighbourhood.	Barriers	ADU	Low Personal Support	74	10	13	3	53	9	2	0	176	11	31	5	52	1
It could increase the density of my neighbourhood.	Barriers	ADU	Low Personal Support	37	7	11	2	37	3	2	0	129	7	15	4	64	1
I believe they are unsuitable to live in and would oppose them in my neighbourhood to protect potential tenants.	Barriers	ADU	Low Personal Support	8	0	2	1	4	0	0	1	28	3	4	1	13	0
It would reduce my privacy.	Barriers	ADU	Low Personal Support	14	4	6	5	12	7	0	0	59	10	12	3	32	1
It could lower my quality of life with noise or other disruptions.	Barriers	ADU	Low Personal Support	34	7	8	7	24	9	2	0	99	10	18	3	70	1
There is not enough space in my neighbourhood or in dwellings within my neighbourhood.	Barriers	ADU	Low Personal Support	44	7	12	6	33	5	0	0	134	21	20	6	71	0
It may block my view.	Barriers	ADU	Low Personal Support	7	0	3	1	2	0	0	0	11	2	2	0	6	0
None of the above	Barriers	ADU	High Perceived Neighbors' Support	17	7	15	17	29	6	4	0	68	22	6	5	57	2
It might attract new residents who could disrupt neighbourhood safety or harmony.	Barriers	ADU	High Perceived Neighbors' Support	10	4	3	8	21	1	0	0	47	6	7	3	20	0
It could disrupt the aesthetics of my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	4	0	2	3	3	0	0	0	17	0	3	0	9	0
It could affect traffic and parking in my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	23	3	9	2	63	0	1	1	75	8	15	0	28	0
It could increase the density of my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	18	1	7	0	35	2	1	1	51	4	8	0	22	0
I believe they are unsuitable to live in and would oppose them in my neighbourhood to protect potential tenants.	Barriers	ADU	High Perceived Neighbors' Support	3	0	0	0	5	1	0	0	11	0	2	0	4	0
It would reduce my privacy.	Barriers	ADU	High Perceived Neighbors' Support	7	1	6	2	5	2	0	1	32	6	3	3	7	0
It could lower my quality of life with noise or other disruptions.	Barriers	ADU	High Perceived Neighbors' Support	9	1	4	5	19	1	1	0	41	8	7	1	24	0
There is not enough space in my neighbourhood or in dwellings within my neighbourhood.	Barriers	ADU	High Perceived Neighbors' Support	11	0	3	1	9	0	0	0	39	7	7	4	26	0
It may block my view.	Barriers	ADU	High Perceived Neighbors' Support	5	3	2	0	7	0	0	0	13	3	0	0	6	0
